DATE,UNRATE,CPIAUCSL,GDP
1962-11-01,5.7,30.38,7159.388886363636
1962-12-01,5.5,30.38,7159.388886363636
1963-01-01,5.7,30.44,621.672
1963-02-01,5.9,30.48,7159.388886363636
1963-03-01,5.7,30.51,7159.388886363636
1963-04-01,5.7,30.48,629.752
1963-05-01,5.9,30.51,7159.388886363636
1963-06-01,5.6,30.61,7159.388886363636
1963-07-01,5.6,30.69,644.444
1963-08-01,5.4,30.75,7159.388886363636
1963-09-01,5.5,30.72,7159.388886363636
1963-10-01,5.5,30.75,653.938
1963-11-01,5.7,30.78,7159.388886363636
1963-12-01,5.5,30.88,7159.388886363636
1964-01-01,5.6,30.94,669.822
1964-02-01,5.4,30.91,7159.388886363636
1964-03-01,5.4,30.94,7159.388886363636
1964-04-01,5.3,30.95,678.674
1964-05-01,5.1,30.98,7159.388886363636
1964-06-01,5.2,31.01,7159.388886363636
1964-07-01,4.9,31.02,692.031
1964-08-01,5.0,31.05,7159.388886363636
1964-09-01,5.1,31.08,7159.388886363636
1964-10-01,5.1,31.12,697.319
1964-11-01,4.8,31.21,7159.388886363636
1964-12-01,5.0,31.25,7159.388886363636
1965-01-01,4.9,31.28,717.79
1965-02-01,5.1,31.28,7159.388886363636
1965-03-01,4.7,31.31,7159.388886363636
1965-04-01,4.8,31.38,730.191
1965-05-01,4.6,31.48,7159.388886363636
1965-06-01,4.6,31.61,7159.388886363636
1965-07-01,4.4,31.58,749.323
1965-08-01,4.4,31.55,7159.388886363636
1965-09-01,4.3,31.62,7159.388886363636
1965-10-01,4.2,31.65,771.857
1965-11-01,4.1,31.75,7159.388886363636
1965-12-01,4.0,31.85,7159.388886363636
1966-01-01,4.0,31.88,795.734
1966-02-01,3.8,32.08,7159.388886363636
1966-03-01,3.8,32.18,7159.388886363636
1966-04-01,3.8,32.28,804.981
1966-05-01,3.9,32.35,7159.388886363636
1966-06-01,3.8,32.38,7159.388886363636
1966-07-01,3.8,32.45,819.638
1966-08-01,3.8,32.65,7159.388886363636
1966-09-01,3.7,32.75,7159.388886363636
1966-10-01,3.7,32.85,833.302
1966-11-01,3.6,32.88,7159.388886363636
1966-12-01,3.8,32.92,7159.388886363636
1967-01-01,3.9,32.9,844.17
1967-02-01,3.8,33.0,7159.388886363636
1967-03-01,3.8,33.0,7159.388886363636
1967-04-01,3.8,33.1,848.983
1967-05-01,3.8,33.1,7159.388886363636
1967-06-01,3.9,33.3,7159.388886363636
1967-07-01,3.8,33.4,865.233
1967-08-01,3.8,33.5,7159.388886363636
1967-09-01,3.8,33.6,7159.388886363636
1967-10-01,4.0,33.7,881.439
1967-11-01,3.9,33.9,7159.388886363636
1967-12-01,3.8,34.0,7159.388886363636
1968-01-01,3.7,34.1,909.387
1968-02-01,3.8,34.2,7159.388886363636
1968-03-01,3.7,34.3,7159.388886363636
1968-04-01,3.5,34.4,934.344
1968-05-01,3.5,34.5,7159.388886363636
1968-06-01,3.7,34.7,7159.388886363636
1968-07-01,3.7,34.9,950.825
1968-08-01,3.5,35.0,7159.388886363636
1968-09-01,3.4,35.1,7159.388886363636
1968-10-01,3.4,35.3,968.03
1968-11-01,3.4,35.4,7159.388886363636
1968-12-01,3.4,35.6,7159.388886363636
1969-01-01,3.4,35.7,993.337
1969-02-01,3.4,35.8,7159.388886363636
1969-03-01,3.4,36.1,7159.388886363636
1969-04-01,3.4,36.3,1009.02
1969-05-01,3.4,36.4,7159.388886363636
1969-06-01,3.5,36.6,7159.388886363636
1969-07-01,3.5,36.8,1029.956
1969-08-01,3.5,36.9,7159.388886363636
1969-09-01,3.7,37.1,7159.388886363636
1969-10-01,3.7,37.3,1038.147
1969-11-01,3.5,37.5,7159.388886363636
1969-12-01,3.5,37.7,7159.388886363636
1970-01-01,3.9,37.9,1051.2
1970-02-01,4.2,38.1,7159.388886363636
1970-03-01,4.4,38.3,7159.388886363636
1970-04-01,4.6,38.5,1067.375
1970-05-01,4.8,38.6,7159.388886363636
1970-06-01,4.9,38.8,7159.388886363636
1970-07-01,5.0,38.9,1086.059
